date,fund_name,nav_per_unit,repurchase_price,sale_price,source,status,total_nav,units
2025-12-15,Zansec Bond Fund,119.8506,119.8506,119.8506,zansec,extracted,24991267376.94,208520169.09
2025-12-15,,119.8506,119.8506,119.8506,zansec,extracted,24991267376.94,208520169.09
2025-12-15,Zansec Bond Fund,119.8506,119.8506,119.8506,zansec,extracted,24991267376.94,208520169.09
2025-12-15,Zansec Bond Fund,119.8506,119.8506,119.8506,zansec,extracted,24991267376.94,208520169.09
2025-12-11,Zansec Bond Fund,119.703,119.703,119.703,zansec,extracted,24951506809.73,208445125.1
2025-12-11,Zansec Bond Fund,119.6553,119.6553,119.6553,zansec,extracted,24981597819.52,208779701.52
2025-12-11,,119.703,119.703,119.703,zansec,extracted,24951506809.73,208445125.1
2025-12-11,,119.6553,119.6553,119.6553,zansec,extracted,24981597819.52,208779701.52
2025-12-11,Zansec Bond Fund,119.703,119.703,119.703,zansec,extracted,24951506809.73,208445125.1
2025-12-11,Zansec Bond Fund,119.6553,119.6553,119.6553,zansec,extracted,24981597819.52,208779701.52
2025-12-11,Zansec Bond Fund,119.703,119.703,119.703,zansec,extracted,24951506809.73,208445125.1
2025-12-11,Zansec Bond Fund,119.6553,119.6553,119.6553,zansec,extracted,24981597819.52,208779701.52
2025-12-10,Zansec Bond Fund,119.5002,119.5002,119.5002,zansec,extracted,24946022115.87,208752973.76
2025-12-10,,119.5002,119.5002,119.5002,zansec,extracted,24946022115.87,208752973.76
2025-12-10,Zansec Bond Fund,119.5002,119.5002,119.5002,zansec,extracted,24946022115.87,208752973.76
2025-12-10,Zansec Bond Fund,119.5002,119.5002,119.5002,zansec,extracted,24946022115.87,208752973.76
2025-12-08,Zansec Bond Fund,119.4056,119.4056,119.4056,zansec,extracted,24942400289.29,208888027.77
2025-12-08,,119.4056,119.4056,119.4056,zansec,extracted,24942400289.29,208888027.77
2025-12-08,Zansec Bond Fund,119.4056,119.4056,119.4056,zansec,extracted,24942400289.29,208888027.77
2025-12-08,Zansec Bond Fund,119.4056,119.4056,119.4056,zansec,extracted,24942400289.29,208888027.77
2025-12-05,Zansec Bond Fund,119.2578,119.2578,119.2578,zansec,extracted,24886354157.57,208676951.59
2025-12-05,,119.2578,119.2578,119.2578,zansec,extracted,24886354157.57,208676951.59
2025-12-05,Zansec Bond Fund,119.2578,119.2578,119.2578,zansec,extracted,24886354157.57,208676951.59
2025-12-05,Zansec Bond Fund,119.2578,119.2578,119.2578,zansec,extracted,24886354157.57,208676951.59
2025-12-04,Zansec Bond Fund,119.2085,119.2085,119.2085,zansec,extracted,24579570148.88,206189744.43
2025-12-04,,119.2085,119.2085,119.2085,zansec,extracted,24579570148.88,206189744.43
2025-12-04,Zansec Bond Fund,119.2085,119.2085,119.2085,zansec,extracted,24579570148.88,206189744.43
