source,date,nav_per_unit,sale_price,repurchase_price,total_nav,units,status
zansec,2025-12-11,119.6553,119.6553,119.6553,24981597819.52,208779701.52,extracted
zansec,2025-12-10,119.5002,119.5002,119.5002,24946022115.87,208752973.76,extracted
zansec,2025-12-08,119.4056,119.4056,119.4056,24942400289.29,208888027.77,extracted
zansec,2025-12-05,119.2578,119.2578,119.2578,24886354157.57,208676951.59,extracted
zansec,2025-12-04,119.2085,119.2085,119.2085,24579570148.88,206189744.43,extracted
zansec,2025-12-03,119.149,119.149,119.149,24559608135.19,206125172.14,extracted
zansec,2025-12-02,119.11,119.11,119.11,24505324274.99,205736917.77,extracted
zansec,2025-12-01,119.0606,119.0606,119.0606,24518505549.81,205932991.69,extracted
zansec,2025-11-28,118.9002,118.9002,118.9002,24283066035.48,204230657.61,extracted
zansec,2025-11-27,118.8635,118.8635,118.8635,24291213065.03,204362256.41,extracted
zansec,2025-11-26,118.8142,118.8142,118.8142,24247617087.42,204080127.52,extracted
zansec,2025-11-25,118.7549,118.7549,118.7549,24225992627.42,203999941.29,extracted
zansec,2025-11-24,118.7148,118.7148,118.7148,24204668511.4,203889224.52,extracted
zansec,2025-11-21,118.5671,118.5671,118.5671,23994250446.43,202368536.01,extracted
zansec,2025-11-20,118.5185,118.5185,118.5185,23980054217.56,202331739.08,extracted
zansec,2025-11-19,118.4692,118.4692,118.4692,23935051412.62,202036068.55,extracted
zansec,2025-11-18,118.4194,118.4194,118.4194,23913272862.51,201937122.32,extracted
zansec,2025-11-17,118.3706,118.3706,118.3706,23886933323.14,201797856.25,extracted
zansec,2025-11-13,118.17,118.17,118.17,23599672405.91,199709506.69,extracted
zansec,2025-11-12,118.1242,118.1242,118.1242,23585064485.35,199663273.79,extracted
zansec,2025-11-11,117.9642,117.9642,117.9642,23625597403.67,200277689.36,extracted
zansec,2025-11-10,117.9272,117.9272,117.9272,23601818272.59,200138884.61,extracted
zansec,2025-11-07,117.8162,117.8162,117.8162,23477486126.54,199272138.52,extracted
zansec,2025-11-06,117.779,117.779,117.779,23370071938.85,198423080.0,extracted
zansec,2025-11-05,117.7053,117.7053,117.7053,23362972274.35,198487003.34,extracted
zansec,2025-11-04,117.7053,117.7053,117.7053,23359935543.18,198461203.9,extracted
