date,fund_name,nav_per_unit,repurchase_price,sale_price,source,status,total_nav,units
2025-04-10,Umoja Fund,1138.5314,1127.1461,1138.5314,utt-amis,extracted,384134248864.874,337394520.6033
2025-04-10,Wekeza Maisha Fund,1002.6104,982.5582,1002.6104,utt-amis,extracted,21666428290.6352,21610016.9476
2025-04-10,Watoto Fund,740.5258,733.1206,740.5258,utt-amis,extracted,28000718466.8514,37811939.8875
2025-04-10,Jikimu Fund,184.1151,180.4328,184.1151,utt-amis,extracted,35699595255.7313,193898268.6486
2025-04-10,Liquid Fund,447.731,447.731,447.731,utt-amis,extracted,1577744108681.88,3523866019.66
2025-04-10,Bond Fund,120.2473,120.2473,120.2473,utt-amis,extracted,856684655849.72,7124358947.0254
2025-04-09,Umoja Fund,1138.3892,1127.0054,1138.3892,utt-amis,extracted,384097909705.832,337404724.4785
2025-04-09,Wekeza Maisha Fund,1002.3765,982.3289,1002.3765,utt-amis,extracted,21653121641.6804,21601785.4896
2025-04-09,Watoto Fund,740.3425,732.939,740.3425,utt-amis,extracted,27976807662.1551,37789008.588
2025-04-09,Jikimu Fund,184.0745,180.393,184.0745,utt-amis,extracted,35672040189.5281,193791364.9407
2025-04-09,Liquid Fund,447.6001,447.6001,447.6001,utt-amis,extracted,1574312627905.68,3517230189.1595
2025-04-09,Bond Fund,120.2141,120.2141,120.2141,utt-amis,extracted,854861034864.612,7111155023.0016
2025-04-09,Umoja Fund,1138.3892,1127.0054,1138.3892,utt-amis,extracted,384097909705.832,337404724.4785
2025-04-09,Wekeza Maisha Fund,1002.3765,982.3289,1002.3765,utt-amis,extracted,21653121641.6804,21601785.4896
2025-04-09,Watoto Fund,740.3425,732.939,740.3425,utt-amis,extracted,27976807662.1551,37789008.588
2025-04-09,Jikimu Fund,184.0745,180.393,184.0745,utt-amis,extracted,35672040189.5281,193791364.9407
2025-04-09,Liquid Fund,447.6001,447.6001,447.6001,utt-amis,extracted,1574312627905.68,3517230189.1595
2025-04-09,Bond Fund,120.2141,120.2141,120.2141,utt-amis,extracted,854861034864.612,7111155023.0016
2025-04-08,Umoja Fund,1138.035,1126.6547,1138.035,utt-amis,extracted,383956860610.308,337385799.2526
2025-04-08,Wekeza Maisha Fund,1002.1179,982.0755,1002.1179,utt-amis,extracted,21586140223.386,21540519.902
2025-04-08,Watoto Fund,740.1113,732.7102,740.1113,utt-amis,extracted,27890664206.7185,37684420.5085
2025-04-08,Jikimu Fund,184.0091,180.3289,184.0091,utt-amis,extracted,35207478562.9326,191335522.1044
2025-04-08,Liquid Fund,447.4692,447.4692,447.4692,utt-amis,extracted,1565903394660.25,3499466188.2275
2025-04-08,Bond Fund,120.1825,120.1825,120.1825,utt-amis,extracted,852703201648.598,7095067583.3265
2025-04-08,Umoja Fund,1138.035,1126.6547,1138.035,utt-amis,extracted,383956860610.308,337385799.2526
2025-04-08,Wekeza Maisha Fund,1002.1179,982.0755,1002.1179,utt-amis,extracted,21586140223.386,21540519.902
2025-04-08,Watoto Fund,740.1113,732.7102,740.1113,utt-amis,extracted,27890664206.7185,37684420.5085
2025-04-08,Jikimu Fund,184.0091,180.3289,184.0091,utt-amis,extracted,35207478562.9326,191335522.1044
2025-04-08,Liquid Fund,447.4692,447.4692,447.4692,utt-amis,extracted,1565903394660.25,3499466188.2275
2025-04-08,Bond Fund,120.1825,120.1825,120.1825,utt-amis,extracted,852703201648.598,7095067583.3265
2025-04-04,Umoja Fund,1137.4671,1126.0924,1137.4671,utt-amis,extracted,383752306026.836,337374435.9163
2025-04-04,Wekeza Maisha Fund,1001.1822,981.1586,1001.1822,utt-amis,extracted,21550194952.5854,21524748.5132
